from_node,to_node,order,timestamp
,16,96,26
,14,102,26
,14,108,26
,12,97,26
,11,99,26
,10,101,26
,23,151,27
,20,152,27
,20,155,27
,2,140,27
,2,141,27
,19,154,27
,28,183,28
,28,185,28
,26,184,28
,27,194,28
,33,244,29
,33,246,29
,9,103,29
,9,106,29
,9,107,29
,7,105,30
,7,237,30
,7,269,30
,37,305,31
,16,189,32
,16,191,32
,16,262,32
,43,330,32
,14,198,32
,14,241,32
,14,242,32
,40,334,32
,40,338,32
,12,144,32
,12,148,32
,12,150,32
,12,182,32
,12,243,32
,12,303,32
,17,147,32
,17,153,32
,17,181,32
,17,187,32
,17,245,32
,17,254,32
,17,300,32
,17,336,32
16,17,85,32
16,17,96,32
16,17,89,32
16,17,86,32
16,17,87,32
16,17,88,32
16,17,84,32
12,17,61,32
12,17,64,32
12,17,62,32
12,17,63,32
12,17,97,32
12,17,60,32
,11,193,32
,11,260,32
11,10,57,32
11,10,54,32
11,10,99,32
11,10,55,32
11,10,59,32
11,10,56,32
,15,190,32
,15,248,32
,15,263,32
,15,264,32
,13,297,32
,23,298,33
,23,306,33
,23,308,33
,20,239,33
,20,296,33
23,24,138,33
23,24,135,33
23,24,136,33
23,24,133,33
23,24,151,33
23,24,134,33
,18,327,33
,21,238,33
,21,333,33
10,21,48,33
10,21,53,33
10,21,52,33
10,21,50,33
10,21,49,33
,21,368,33
,19,188,33
,19,235,33
,19,249,33
,19,258,33
,19,337,33
,28,339,34
,26,236,34
,26,304,34
,26,328,34
,26,331,34
,26,342,34
,4,104,34
,4,196,34
,4,240,34
,4,271,34
14,4,75,34
14,4,76,34
14,4,77,34
,4,372,34
20,4,126,34
20,4,124,34
20,4,155,34
20,4,125,34
,27,301,34
,25,370,34
,25,424,34
27,25,194,34
27,25,172,34
27,25,169,34
27,25,173,34
27,25,170,34
27,25,171,34
,9,267,35
,9,329,35
,9,417,35
,30,259,35
,30,268,35
,30,422,35
33,30,228,35
33,30,244,35
33,30,226,35
33,30,227,35
18,31,113,35
18,31,109,35
18,31,114,35
18,31,112,35
18,31,110,35
,33,250,35
,33,253,35
,33,255,35
2,33,11,35
2,33,7,35
2,33,10,35
2,33,6,35
2,33,140,35
2,33,141,35
2,33,8,35
19,33,154,35
19,33,116,35
19,33,118,35
19,33,120,35
28,33,177,35
28,33,178,35
28,33,183,35
28,33,179,35
28,33,180,35
28,33,175,35
28,33,185,35
,33,447,35
,34,270,35
,34,423,35
,34,455,35
,53,451,35
34,53,232,35
34,53,234,35
15,6,80,36
15,6,78,36
15,6,81,36
15,6,79,36
15,6,82,36
15,6,83,36
,7,299,36
,7,418,36
29,36,201,37
29,36,200,37
29,36,204,37
29,36,199,37
29,36,202,37
29,36,203,37
,37,456,37
,5,100,37
,5,145,37
,5,149,37
,5,251,37
,5,257,37
,5,302,37
17,5,93,37
17,5,90,37
17,5,94,37
17,5,95,37
17,5,91,37
17,5,92,37
,5,379,37
,5,414,37
,38,378,37
,39,374,37
,39,446,37
38,60,288,37
38,60,289,37
38,60,287,37
,3,146,37
,3,197,37
,3,307,37
,3,332,37
,3,373,37
,3,479,37
21,12,127,38
21,12,131,38
21,12,128,38
21,12,132,38
21,12,129,38
21,12,130,38
,12,515,38
,12,522,38
,13,382,38
,13,550,38
,14,551,38
,15,383,38
,16,371,38
,16,377,38
,40,419,38
39,40,293,38
39,40,290,38
39,40,294,38
39,40,295,38
39,40,292,38
,40,546,38
,17,476,38
,42,480,38
,42,514,38
,43,380,38
,43,442,38
13,10,70,38
13,10,71,38
13,10,69,38
,10,375,38
,10,449,38
,10,548,38
25,11,162,38
25,11,161,38
,11,437,38
14,11,198,38
14,11,242,38
14,11,77,38
,44,438,39
,44,440,39
43,44,330,39
43,44,323,39
43,44,322,39
43,44,324,39
43,44,325,39
43,44,321,39
43,44,326,39
,44,572,39
,18,450,39
,18,488,39
,19,489,39
,46,420,39
,46,543,39
40,46,334,39
40,46,311,39
40,46,310,39
40,46,314,39
40,46,309,39
40,46,313,39
40,46,338,39
,47,457,39
,47,516,39
,47,519,39
,21,482,39
,21,518,39
11,22,260,39
11,22,99,39
11,22,193,39
11,22,55,39
11,22,56,39
,23,416,39
,23,444,39
,23,448,39
,23,453,39
,67,567,39
20,24,152,39
20,24,124,39
20,24,121,39
20,24,296,39
20,24,155,39
20,24,239,39
,2,484,39
,1,186,39
,1,340,39
,1,376,39
26,1,167,39
26,1,168,39
12,1,144,39
12,1,148,39
12,1,64,39
12,1,150,39
12,1,243,39
,1,565,39
32,49,220,40
32,49,221,40
32,49,222,40
30,49,209,40
30,49,205,40
30,49,210,40
30,49,206,40
30,49,207,40
30,49,208,40
,49,486,40
,28,549,40
,4,443,40
9,4,46,40
9,4,47,40
9,4,106,40
9,4,107,40
9,4,45,40
31,4,214,40
31,4,216,40
31,4,215,40
,4,562,40
23,4,138,40
23,4,308,40
,50,558,40
44,50,346,40
44,50,349,40
44,50,345,40
44,50,348,40
44,50,347,40
44,50,344,40
7,25,269,40
7,25,105,40
7,25,30,40
7,25,237,40
7,25,31,40
7,25,32,40
7,25,33,40
7,25,34,40
7,25,35,40
,25,547,40
10,25,57,40
10,25,54,40
10,25,99,40
10,25,53,40
10,25,55,40
10,25,59,40
10,25,56,40
10,25,49,40
13,25,70,40
13,25,71,40
,51,485,40
,51,542,40
,51,579,40
48,51,386,40
48,51,385,40
48,51,387,40
48,51,384,40
48,51,389,40
,26,477,40
,26,481,40
18,26,109,40
18,26,110,40
18,26,327,40
,52,441,40
,52,445,40
,52,521,40
,8,142,40
,8,192,40
,8,252,40
,8,256,40
,8,487,40
,8,568,40
,8,576,40
,48,439,40
,48,452,40
,48,559,40
,27,478,40
,27,575,40
,27,625,40
,73,611,40
25,9,194,41
25,9,161,41
25,9,169,41
25,9,159,41
25,9,170,41
25,9,171,41
25,9,370,41
25,9,172,41
25,9,424,41
,9,651,41
,29,541,41
,29,626,41
,31,517,41
15,31,190,41
15,31,80,41
15,31,78,41
15,31,248,41
15,31,264,41
15,31,82,41
15,31,263,41
,31,560,41
4,31,240,41
4,31,75,41
4,31,372,41
4,31,76,41
4,31,77,41
4,31,124,41
4,31,125,41
4,31,104,41
4,31,19,41
4,31,126,41
4,31,20,41
4,31,21,41
4,31,22,41
4,31,271,41
4,31,23,41
4,31,196,41
4,31,155,41
46,32,356,41
46,32,360,41
46,32,357,41
46,32,361,41
46,32,358,41
,32,612,41
,33,621,41
26,33,328,41
26,33,184,41
26,33,165,41
26,33,167,41
26,33,304,41
26,33,331,41
26,33,342,41
26,33,236,41
30,33,207,41
30,33,422,41
30,33,259,41
30,33,205,41
30,33,208,41
30,33,268,41
,34,520,41
,34,574,41
,34,653,41
36,35,274,42
36,35,277,42
36,35,273,42
36,35,276,42
36,35,275,42
36,35,272,42
16,6,189,42
16,6,85,42
16,6,262,42
16,6,89,42
16,6,87,42
16,6,191,42
16,6,84,42
29,6,203,42
29,6,200,42
29,6,201,42
17,7,89,42
17,7,96,42
17,7,95,42
17,7,87,42
17,7,97,42
17,7,63,42
17,7,300,42
17,7,64,42
17,7,245,42
17,7,88,42
,7,569,42
2,7,11,42
2,7,141,42
37,57,279,42
37,57,283,42
37,57,278,42
37,57,282,42
37,57,280,42
37,57,305,42
,57,563,42
51,57,403,42
51,57,407,42
51,57,402,42
51,57,404,42
51,57,405,42
,57,676,42
,61,717,43
,80,705,43
,62,544,43
49,62,390,43
49,62,394,43
49,62,391,43
49,62,392,43
49,62,395,43
49,62,393,43
,37,614,43
,37,712,43
,5,571,43
,63,570,43
,63,573,43
,63,648,43
,63,655,43
47,38,365,43
47,38,363,43
47,38,362,43
47,38,367,43
47,38,364,43
45,38,354,43
45,38,352,43
45,38,350,43
54,39,434,43
61,59,497,43
61,59,498,43
61,59,500,43
61,59,501,43
,3,615,43
17,12,89,44
17,12,96,44
17,12,181,44
17,12,95,44
17,12,87,44
17,12,90,44
17,12,153,44
17,12,300,44
17,12,245,44
17,12,84,44
17,12,91,44
17,12,85,44
17,12,86,44
17,12,147,44
17,12,88,44
,12,580,44
,12,623,44
5,12,149,44
5,12,379,44
5,12,251,44
5,12,24,44
5,12,414,44
5,12,302,44
5,12,25,44
5,12,26,44
5,12,29,44
5,12,145,44
5,12,92,44
5,12,93,44
5,12,257,44
5,12,94,44
5,12,100,44
,13,564,44
,13,619,44
,14,561,44
19,14,188,44
19,14,235,44
19,14,258,44
19,14,118,44
19,14,249,44
19,14,337,44
28,14,185,44
28,14,339,44
28,14,177,44
28,14,175,44
28,14,183,44
4,14,240,44
4,14,372,44
4,14,124,44
4,14,125,44
4,14,104,44
4,14,19,44
4,14,126,44
4,14,21,44
4,14,22,44
4,14,271,44
4,14,23,44
4,14,196,44
4,14,155,44
,15,734,44
,15,742,44
17,16,181,44
17,16,95,44
17,16,60,44
17,16,97,44
17,16,61,44
17,16,62,44
17,16,90,44
17,16,63,44
17,16,153,44
17,16,300,44
17,16,64,44
17,16,245,44
17,16,91,44
17,16,147,44
,16,578,44
21,16,48,44
21,16,128,44
21,16,333,44
21,16,130,44
21,16,131,44
21,16,238,44
21,16,368,44
21,16,53,44
21,16,52,44
21,16,50,44
21,16,49,44
,16,620,44
,16,627,44
14,16,77,44
14,16,198,44
14,16,242,44
14,16,551,44
14,16,102,44
14,16,241,44
,40,672,44
56,40,463,44
56,40,460,44
56,40,458,44
56,40,461,44
56,40,462,44
,17,713,44
5,17,149,44
5,17,379,44
5,17,251,44
5,17,24,44
5,17,414,44
5,17,302,44
5,17,25,44
5,17,26,44
5,17,29,44
5,17,145,44
5,17,257,44
5,17,100,44
42,41,315,44
42,41,319,44
42,41,320,44
42,41,316,44
